#mission_id,user_id,place_id,date,duration,mode,co2,emissions,regions
1,157,183,2013-03-08,16,train,0.01214,5.77864,Reach
3,490,297,2013-03-17,75,plane,0.14678,108.76397999999999,North
4,340,90,2013-03-19,14,train,0.01214,2.5129799999999998,North
6,209,90,2013-03-19,18,train,0.01214,2.5129799999999998,North
0,299,55,2013-03-20,10,car,0.20033,18.831020000000002,North
8,176,191,2013-03-20,30,train,0.01214,5.83934,North
11,409,191,2013-03-22,13,train,0.01214,5.83934,North
9,490,191,2013-03-22,15,train,0.01214,5.83934,North
22,411,55,2013-03-25,12,car,0.20033,18.831020000000002,Dorne
31,39,191,2013-03-26,24,train,0.01214,5.83934,North
5,169,250,2013-03-26,38,plane,0.14678,90.2697,Westerlands
7,176,250,2013-03-26,34,plane,0.14678,90.2697,North
26,490,191,2013-03-28,18,train,0.01214,5.83934,North
25,56,180,2013-03-28,13,train,0.01214,5.74222,Reach
2,491,191,2013-03-28,18,train,0.01214,5.83934,North
34,144,20,2013-03-29,6,car,0.20033,5.80957,North
21,411,268,2013-04-02,57,train,0.01214,7.91528,Dorne
30,463,98,2013-04-02,89,car,0.20033,44.0726,Reach
14,157,98,2013-04-02,87,car,0.20033,44.0726,Reach
24,409,191,2013-04-11,16,train,0.01214,5.83934,North
16,371,261,2013-04-15,30,plane,0.14678,93.49886,North
19,409,191,2013-04-15,11,train,0.01214,5.83934,North
20,409,207,2013-04-16,17,train,0.01214,6.03358,North
35,340,191,2013-04-17,41,train,0.01214,5.83934,North
43,490,191,2013-04-19,15,train,0.01214,5.83934,North
42,176,191,2013-04-19,15,train,0.01214,5.83934,North
23,411,237,2013-04-22,14,plane,0.16508,97.3972,Dorne
55,144,20,2013-04-24,6,car,0.20033,5.80957,North
45,74,191,2013-04-24,16,train,0.01214,5.83934,North
37,15,191,2013-04-26,147,train,0.01214,5.83934,North
33,491,191,2013-04-26,146,train,0.01214,5.83934,North
56,173,191,2013-04-26,193,train,0.01214,5.83934,North
27,340,191,2013-04-27,110,train,0.01214,5.83934,North
36,380,191,2013-04-28,100,train,0.01214,5.83934,Dorne
18,356,191,2013-04-28,100,train,0.01214,5.83934,North
17,371,191,2013-04-28,17692,train,0.01214,5.83934,North
13,327,191,2013-04-28,102,train,0.01214,5.83934,North
38,77,191,2013-04-28,100,train,0.01214,5.83934,North
47,144,191,2013-04-29,36,train,0.01214,5.83934,North
10,409,191,2013-04-29,89,plane,0.16508,79.40348,North
32,496,191,2013-04-29,87,train,0.01214,5.83934,North
28,39,191,2013-04-29,72,train,0.01214,5.83934,North
29,39,125,2013-05-03,55,train,0.01214,4.07904,North
63,409,181,2013-05-07,13,train,0.01214,5.75436,North
64,409,138,2013-05-14,15,plane,0.16508,63.22564,North
61,409,207,2013-05-15,50,train,0.01214,6.03358,North
53,169,297,2013-05-19,128,plane,0.14678,108.76397999999999,Westerlands
51,176,191,2013-05-21,53,train,0.01214,5.83934,North
59,371,135,2013-05-21,33,train,0.01214,4.4675199999999995,North
57,56,125,2013-05-21,17,train,0.01214,4.07904,Reach
39,326,138,2013-05-21,15,train,0.01214,4.64962,Reach
62,409,191,2013-05-21,74,train,0.01214,5.83934,North
41,157,403,2013-05-21,76,plane,0.14678,208.72116,Reach
70,134,223,2013-05-23,31,train,0.01214,6.6163,Westerlands
60,326,235,2013-05-26,42,train,0.01214,7.13832,Reach
67,134,261,2013-05-26,272,plane,0.14678,93.49886,Westerlands
44,176,191,2013-05-28,79,train,0.01214,5.83934,North
65,409,153,2013-05-29,17,train,0.01214,5.0988,North
69,93,191,2013-05-29,105,train,0.01214,5.83934,Westerlands
77,340,160,2013-05-29,49,plane,0.16508,72.30504,North
80,365,191,2013-05-29,65,train,0.01214,5.83934,Westerlands
71,232,191,2013-05-29,63,train,0.01214,5.83934,Westerlands
76,490,160,2013-05-29,52,plane,0.16508,72.30504,North
54,169,191,2013-05-29,64,train,0.01214,5.83934,Westerlands
58,56,88,2013-05-29,16,train,0.01214,2.46442,Reach
40,326,138,2013-05-29,31,train,0.01214,4.64962,Reach
73,411,53,2013-05-31,12,car,0.20033,18.43036,Dorne
86,409,143,2013-06-04,126,train,0.01214,4.74674,North
81,93,53,2013-06-04,28,train,0.01214,1.1168799999999999,Westerlands
88,356,437,2013-06-09,172,plane,0.14678,368.71135999999996,North
72,371,384,2013-06-09,109,plane,0.14678,185.23636,North
12,327,384,2013-06-09,108,plane,0.14678,185.23636,North
48,496,401,2013-06-09,82,plane,0.14678,207.40014,North
49,419,401,2013-06-09,82,plane,0.14678,207.40014,North
52,91,401,2013-06-09,82,plane,0.14678,207.40014,Dorne
50,380,401,2013-06-09,82,plane,0.14678,207.40014,Dorne
68,409,138,2013-06-11,14,train,0.01214,4.64962,North
82,289,436,2013-06-11,86,plane,0.14678,363.28049999999996,Westerlands
89,1,253,2013-06-16,78,train,0.01214,7.53894,Reach
85,444,341,2013-06-16,106,plane,0.14678,140.90879999999999,Reach
84,48,341,2013-06-16,105,plane,0.14678,140.90879999999999,Reach
78,56,341,2013-06-16,106,plane,0.14678,140.90879999999999,Reach
96,490,135,2013-06-16,34,train,0.01214,4.4675199999999995,North
74,491,55,2013-06-17,79,train,0.01214,1.14116,North
95,303,56,2013-06-17,82,car,0.20033,19.03135,North
75,74,55,2013-06-17,84,train,0.01214,1.14116,North
79,490,261,2013-06-18,41,plane,0.14678,93.49886,North
98,91,191,2013-06-19,16,train,0.01214,5.83934,Dorne
87,300,191,2013-06-20,9,train,0.01214,5.83934,North
101,347,191,2013-06-20,12,train,0.01214,5.83934,Westerlands
15,39,528,2013-06-22,203,plane,0.13712,1196.78336,North
91,415,620,2013-06-24,1666,plane,0.13712,2265.35952,Reach
99,409,313,2013-06-24,60,plane,0.14678,120.94672,North
66,356,313,2013-06-24,155,plane,0.14678,120.94672,North
97,490,89,2013-06-28,18,train,0.01214,2.4887,North
105,97,262,2013-06-30,35,train,0.01214,7.73318,Reach
102,463,262,2013-06-30,33,train,0.01214,7.73318,Reach
103,255,262,2013-06-30,34,train,0.01214,7.73318,Reach
110,91,53,2013-07-01,7,car,0.20033,18.43036,Dorne
109,299,55,2013-07-01,6,car,0.20033,18.831020000000002,North
111,326,191,2013-07-02,15,train,0.01214,5.83934,Reach
106,56,185,2013-07-03,16,train,0.01214,5.79078,Reach
107,463,55,2013-07-03,8,train,0.01214,1.14116,Reach
119,233,53,2013-07-05,12,car,0.20033,18.43036,Riverlands
93,371,226,2013-07-09,48,plane,0.14678,81.16933999999999,North
46,411,261,2013-07-09,83,train,0.01214,7.73318,Dorne
94,490,226,2013-07-09,53,plane,0.14678,81.16933999999999,North
83,289,138,2013-07-10,15,train,0.01214,4.64962,Westerlands
116,209,55,2013-07-11,12,train,0.01214,1.14116,North
121,289,191,2013-07-11,16,train,0.01214,5.83934,Westerlands
115,340,55,2013-07-11,10,train,0.01214,1.14116,North
100,157,138,2013-07-12,13,train,0.01214,4.64962,Reach
131,468,138,2013-07-18,12,train,0.01214,4.64962,Riverlands
133,76,191,2013-07-18,13,train,0.01214,5.83934,Reach
122,393,191,2013-07-21,130,train,0.01214,5.83934,Reach
117,372,346,2013-07-26,103,plane,0.14678,144.87186,Riverlands
118,328,346,2013-07-26,104,plane,0.14678,144.87186,Dorne
136,76,382,2013-07-27,155,plane,0.14678,184.06212,Reach
112,468,319,2013-07-28,104,plane,0.14678,124.32266,Riverlands
108,463,382,2013-07-28,111,plane,0.14678,184.06212,Reach
113,468,376,2013-08-11,168,car,0.20033,238.59303,Riverlands
140,345,516,2013-08-13,612,plane,0.13712,1135.76496,Reach
114,468,358,2013-08-18,111,car,0.20033,210.54683,Riverlands
126,379,95,2013-08-22,35,train,0.01214,2.57368,Reach
92,415,519,2013-08-24,180,plane,0.13712,1141.1126399999998,Reach
120,10,512,2013-08-24,168,plane,0.13712,1093.1206399999999,Westerlands
90,76,319,2013-08-25,144,plane,0.14678,124.32266,Reach
132,356,226,2013-08-26,101,plane,0.14678,81.16933999999999,North
104,233,212,2013-08-26,114,plane,0.14678,75.00457999999999,Riverlands
128,409,226,2013-08-26,152,plane,0.14678,81.16933999999999,North
129,361,226,2013-08-26,104,plane,0.14678,81.16933999999999,North
134,255,374,2013-09-01,176,plane,0.14678,173.49396,Reach
135,97,362,2013-09-01,179,plane,0.14678,159.25629999999998,Reach
138,253,216,2013-09-01,173,car,0.20033,103.77094000000001,Riverlands
130,37,536,2013-09-02,101,plane,0.13712,1218.85968,North
125,77,536,2013-09-02,132,plane,0.13712,1218.85968,North
145,299,53,2013-09-04,10,car,0.20033,18.43036,North
127,60,305,2013-09-08,144,plane,0.14678,113.7545,Reach
137,371,122,2013-09-08,100,car,0.20033,64.90692,North
124,33,446,2013-09-10,130,plane,0.13712,385.44432,Westerlands
123,93,446,2013-09-10,119,plane,0.13712,385.44432,Westerlands
141,481,313,2013-09-10,32,plane,0.14678,120.94672,Riverlands
142,468,127,2013-09-15,63,car,0.20033,70.71649000000001,Riverlands
146,417,191,2013-09-16,16,train,0.01214,5.83934,Reach
147,379,191,2013-09-16,16,train,0.01214,5.83934,Reach
153,326,191,2013-09-18,51,train,0.01214,5.83934,Reach
151,56,60,2013-09-19,11,car,0.20033,19.83267,Reach
164,39,5,2013-09-20,1,car,0.20033,1.20198,North
144,97,311,2013-09-22,132,plane,0.14678,118.74502,Reach
159,455,55,2013-09-24,10,train,0.01214,1.14116,North
152,409,191,2013-09-24,16,train,0.01214,5.83934,North
150,372,138,2013-09-25,29,train,0.01214,4.64962,Riverlands
149,371,191,2013-09-26,11,train,0.01214,5.83934,North
139,76,384,2013-09-28,127,plane,0.14678,185.23636,Reach
160,463,384,2013-09-28,122,plane,0.14678,185.23636,Reach
161,56,191,2013-09-30,12,train,0.01214,5.83934,Reach
165,490,191,2013-10-01,18,train,0.01214,5.83934,North
162,176,191,2013-10-02,28,public,0.075,36.074999999999996,North
163,496,191,2013-10-04,14,train,0.01214,5.83934,North
